"","p_value","mean_exp_in_R","mean_exp_in_NR","per_in_R","per_in_NR","log2_R_NR_"
"CD38",1.96864974604934e-112,1.19097120546608,3.42400139502441,0.152269399707174,0.427109974424552,-1.52354475645631
"PRF1",7.86678458837967e-96,4.42669106881406,7.05803534061846,0.505612493899463,0.768890955591723,-0.673037960187883
"NKG7",3.61811416344795e-91,7.77520741825281,10.4359218786329,0.708150317227916,0.911415949779121,-0.42460498209455
"IFI6",4.18285991231325e-71,2.33809175207418,4.33574285049988,0.337237676915569,0.574982562194838,-0.890947648482945
"PSME2",2.12227428668743e-70,4.25686188384578,6.58871425249942,0.464128843338214,0.696814694257149,-0.630206677670723
"GBP5",6.19947309009022e-67,2.74546120058565,4.59361311322948,0.369936554416789,0.601023017902813,-0.742580831108153
"STAT1",2.15586302342661e-66,3.23666666666667,5.22644268774704,0.413860419716935,0.643106254359451,-0.691320533402563
"GBP2",1.44947331173834e-65,2.94363103953148,4.88501976284585,0.358711566617862,0.587305277842362,-0.730767546265177
"APOBEC3C",2.94985079953063e-61,5.30389946315276,6.94671704254824,0.684236212786725,0.864217623808417,-0.389277904854363
"GZMB",7.46301670981367e-60,3.33695949243533,5.70153452685422,0.332845290385554,0.550337130899791,-0.77281608883479
"CTSW",1.85530353459359e-58,4.33854075158614,6.19745408044641,0.470473401659346,0.682631946059056,-0.514465796462317
"ANXA5",2.92002276815758e-57,2.42333333333333,4.25355963729365,0.282088823816496,0.490816089281562,-0.811677818211106
"GZMH",7.13476924411292e-57,3.36982918496828,5.45960009300163,0.346022449975598,0.558009765170891,-0.696119816166629
"CST7",9.96623722978077e-57,6.41045387994143,8.26773076028831,0.658857979502196,0.839339688444548,-0.367064900252612
"HLA-DPA1",2.33616243016568e-56,4.43750610053685,6.56431295047663,0.474377745241581,0.682399441990235,-0.564894917410903
"EPSTI1",4.27789547147418e-56,1.00670571010249,2.37766333410835,0.141532454856027,0.321553127179726,-1.23990244826105
"UBE2L6",8.75992516367535e-56,3.01781356759395,4.94799348988607,0.346510492923377,0.556614740757963,-0.713339919352487
"CLIC1",9.69425664494905e-56,5.38378233284529,7.36166007905138,0.572962420693021,0.76842594745408,-0.451411052799522
"APOBEC3G",5.31141247843786e-54,4.53494875549048,6.34669379214136,0.534407027818448,0.732387816786794,-0.484918990314057
"MT2A",1.9112201145475e-51,2.31227916056613,4.07840967216926,0.267447535383114,0.462915601023018,-0.818691115539969
"ISG15",6.88187355704814e-51,2.79923377257199,4.6884212973727,0.30356271351879,0.501278772378517,-0.744070239063358
"GOLIM4",5.58469431000192e-50,0.917398731088336,1.86284817484306,0.161542215714983,0.335038363171355,-1.02188928002589
"CALM3",1.35417629957296e-49,2.49989263055149,4.13364566379912,0.372864812103465,0.571029993024878,-0.725548593203122
"WARS",1.42560201762026e-49,1.21014153245486,2.73535456870495,0.154709614446071,0.325738200418507,-1.17655206543806
"PSMB9",2.82118524052835e-49,4.37145436798438,6.32039990699837,0.471937530502684,0.666821669379214,-0.531902504781663
"HLA-DRB1",9.17107819388595e-49,4.25205954123963,5.96886305510346,0.523182040019522,0.712857475005813,-0.489294355157457
"GZMA",2.26865295849679e-48,5.49093704245974,7.39908160892816,0.548560273304051,0.734712857475006,-0.430293841377312
"IL7R",9.60483691688862e-48,3.64842850170815,1.96053708439898,0.417276720351391,0.236921646128807,0.89602625021956
"PGAM1",1.77710008660687e-47,3.21218643240605,4.99612880725413,0.365056124938995,0.558474773308533,-0.637255044134904
"HLA-DRA",2.57940414785512e-47,3.11260126891166,5.10423157405255,0.340653977550024,0.533131829807022,-0.713573008040566
"PSMB10",5.80621465694426e-47,3.22522205954124,4.94994419902348,0.370912640312347,0.563357358753778,-0.618013766856068
"PSMA4",7.08108210458168e-47,1.62608589555881,3.11528714252499,0.189360663738409,0.3629388514299,-0.937961677957664
"PDCD1",8.06962887245542e-47,2.51147388970229,4.12615903278307,0.292337725719863,0.480585910253429,-0.71626515122709
"CCL4L1",2.25081026154785e-46,3.60759394826745,5.02530109276912,0.453391898487067,0.643571262497094,-0.478173072894534
"LSP1",2.51863200159136e-46,5.19082967301123,6.68034178098117,0.63933626159102,0.807951639153685,-0.363956766767444
"GBP1",7.04446569361113e-46,1.5738457784285,2.92062078586375,0.201561737432894,0.375494071146245,-0.891980872744508
"CCL3",2.1615694000578e-45,1.53639824304539,3.32330155777726,0.187408491947291,0.357358753778191,-1.11306499054024
"SUB1",1.55006778133373e-44,4.38062469497316,6.11198558474773,0.490971205466081,0.675191815856777,-0.480504522047429
"HLA-DRB5",1.64583333399555e-44,3.01498291849683,4.43571262497094,0.473401659346022,0.658451522901651,-0.557016072622953
"CAP1",2.35892678560102e-44,4.22848706686188,5.67403627063474,0.527574426549536,0.708207393629389,-0.424233806858984
"LY6E",3.3237498998423e-44,3.65198633479746,5.11418274819809,0.473889702293802,0.658451522901651,-0.485822347221847
"PSMB8",4.90586325258533e-44,4.17878965348951,5.9795466170658,0.453391898487067,0.638456172983027,-0.516950960154046
"HLA-DPB1",9.88156017729533e-44,4.6840214738897,6.41245059288538,0.533430941922889,0.712159962799349,-0.453128115093453
"PARP9",1.07876519845137e-43,1.71135675939483,2.99573820041851,0.225963884821864,0.399209486166008,-0.807771007424225
"SNAP47",2.24102636221893e-43,1.54029770619815,2.86236224133922,0.192288921425085,0.35898628225994,-0.893997041825696
"VCAM1",8.74716184471162e-43,1.21413860419717,2.47447105324343,0.145436798438263,0.299697744710532,-1.02718703858346
"PPP1CA",2.14451980655225e-42,3.62405563689605,5.23779586142757,0.412884333821376,0.595675424319926,-0.531354729025073
"CCL4",3.18624622020586e-42,5.26944363103953,7.13380841664729,0.511469009272816,0.689374564054871,-0.437021827369417
"S100A11",2.7967185876302e-41,2.66860907759883,4.16170657986515,0.300634455832113,0.477098349221111,-0.641087270067716
"APOL2",3.08721270639152e-41,2.12828208882382,3.29180190653336,0.315763787213275,0.493373634038596,-0.629188137532879
"BST2",3.7549874628956e-41,1.96735968765251,3.37820971867008,0.22938018545632,0.397581957684259,-0.779998146971135
"PKM",7.40210136649502e-41,3.89637872132748,5.22777958614276,0.534407027818448,0.707277377354104,-0.424064403729478
"OASL",4.21086239864646e-40,2.15534895070766,3.57554754708207,0.259638848218643,0.429435015112764,-0.730242727818201
"PRDM1",4.44840789167625e-40,3.75839433870181,5.04554057196001,0.514885309907272,0.687979539641944,-0.424892400562237
"CCL5",5.35410018231411e-40,9.84815519765739,11.16108114392,0.887262079062958,0.972099511741455,-0.180551381295354
"IL2RB",8.24434601610899e-40,3.94075646656906,5.25746338060916,0.505124450951684,0.678214368751453,-0.41589430067908
"LASP1",8.53907337682045e-40,2.51304050756467,3.74524296675192,0.346510492923377,0.522204138572425,-0.575625388163918
"TIGIT",2.60715704498638e-39,3.20919472913616,4.74807021622878,0.372864812103465,0.5482445942804,-0.565129937395586
"RHOA",3.54463015191083e-39,5.54550024402147,7.04245059288538,0.642264519277696,0.797721460125552,-0.344759929514296
"SERPINB1",3.90588678637703e-39,1.59326988775012,2.85977912113462,0.198633479746218,0.356893745640549,-0.843913053740671
"LGALS1",4.30254525996635e-39,1.51979502196193,2.9233736340386,0.17227916056613,0.325040688212044,-0.943757473231644
"IFITM1",5.4543885856592e-39,6.69246949731576,8.36797256451988,0.692532942898975,0.838409672169263,-0.32233946311019
"GAPDH",7.75864858323323e-39,9.35102000976086,11.120432457568,0.886774036115178,0.970936991397349,-0.250017245531854
"GBP4",1.33608426245373e-38,1.3505270863836,2.37328063241107,0.189360663738409,0.344571029993025,-0.813360129374135
"IFITM2",2.19921766220722e-38,8.14832113225964,9.73223901418275,0.824304538799414,0.933271332248314,-0.256268912615745
"SKA2",3.85743178897659e-38,0.976905807711079,1.96695652173913,0.133235724743777,0.273889793071379,-1.00967369737086
"RARRES3",5.66998331567486e-38,4.29714494875549,5.89808184143222,0.457296242069302,0.628923506161358,-0.456867399219293
"ARPC1B",5.76940141043428e-38,4.75996583699366,6.33141594977912,0.539775500244021,0.706114857009998,-0.41157695908725
"PSMB2",7.4356417885331e-38,1.27297218155198,2.31451987909788,0.179599804782821,0.331085794001395,-0.86251206163824
"CHST12",1.61695078727338e-37,1.82433870180576,3.00176470588235,0.22938018545632,0.389211811206696,-0.718437294117463
